competence,skill,label,prerequis,materiel,liens
"C9	Réceptionner, vérifier et préparer les équipements",SF2.10: Inventorier le matériel.,"Focus : Check-out.Rigueur dans la vérification du matériel avant départ. Capacité à configurer le matériel selon les besoins (banc-titre, épaule, trépied).",,,
"C9	Réceptionner, vérifier et préparer les équipements",SF2.11: Vérifier les fonctionnalités.,"Focus : Check-out.Rigueur dans la vérification du matériel avant départ. Capacité à configurer le matériel selon les besoins (banc-titre, épaule, trépied).",,,
"C9	Réceptionner, vérifier et préparer les équipements",SF2.12: Soigner le conditionnement (transport).,"Focus : Check-out.Rigueur dans la vérification du matériel avant départ. Capacité à configurer le matériel selon les besoins (banc-titre, épaule, trépied).",,,
"C9	Réceptionner, vérifier et préparer les équipements",SF2.13: S’approprier les documentations techniques.,"Focus : Check-out.Rigueur dans la vérification du matériel avant départ. Capacité à configurer le matériel selon les besoins (banc-titre, épaule, trépied).",,,
"C10	Définir, réaliser et apprécier des essais en vue de paramétrer la caméra",SF2.14: Proposer et conduire une série d’essais gradués (menus caméra).,"Focus : Ingénierie de la Vision.Création de ""Looks"" (LUTs), réglage des courbes Gamma, Knee, Matrix. Compréhension profonde des menus caméra.",,,
"C10	Définir, réaliser et apprécier des essais en vue de paramétrer la caméra","SF2.15: Apprécier qualitativement les effets des réglages (moniteur référence).
","Focus : Ingénierie de la Vision.Création de ""Looks"" (LUTs), réglage des courbes Gamma, Knee, Matrix. Compréhension profonde des menus caméra.",,,
"C10	Définir, réaliser et apprécier des essais en vue de paramétrer la caméra",SF2.16: Proposer et valider les paramétrages.,"Focus : Ingénierie de la Vision.Création de ""Looks"" (LUTs), réglage des courbes Gamma, Knee, Matrix. Compréhension profonde des menus caméra.",,,
C11	Sauvegarder les médias et métadonnées... et mettre à disposition,"SF2.17: Interconnecter les équipements de post-prod.
","Focus : Gestion des Data (DIT).Sécurisation des rushes (checksum), gestion des cartes mémoires, nommage des fichiers. C'est une compétence critique dans le flux numérique.",,,
C11	Sauvegarder les médias et métadonnées... et mettre à disposition,SF2.18: Effectuer l’acquisition/transfert des médias.,"Focus : Gestion des Data (DIT).Sécurisation des rushes (checksum), gestion des cartes mémoires, nommage des fichiers. C'est une compétence critique dans le flux numérique.",,,
C11 Sauvegarder les médias et métadonnées... et mettre à disposition,SF2.19: Sécuriser les contenus (sauvegarde redondante).,"Focus : Gestion des Data (DIT).Sécurisation des rushes (checksum), gestion des cartes mémoires, nommage des fichiers. C'est une compétence critique dans le flux numérique.",,,
C13	Conception et organisation d’un tournage en studio (effets/incrustation),SF3.1: Visualiser et analyser les caractéristiques pour l'incrustation.,"Focus : Tournage Technique/VFX.Éclairage d'un fond vert, gestion du ""tracking"", cohérence des perspectives entre l'avant-plan et l'arrière-plan.",,,
C13	Conception et organisation d’un tournage en studio (effets/incrustation),"SF3.2 à SF3.6: Mise en œuvre sources vidéo, organisation plateau, réglage mélangeur.","Focus : Tournage Technique/VFX.Éclairage d'un fond vert, gestion du ""tracking"", cohérence des perspectives entre l'avant-plan et l'arrière-plan.",,,
C14	Installer un dispositif d’éclairage en assurant la sécurité,"SF3.7 à SF3.11: Mise en place structures, accroche projecteurs, câblage puissance et DMX, mise sous tension.","Focus : Machinerie et Électricité.Installation physique. Le respect des règles de l'art (élingues de sécurité, passage des câbles, équilibrage des phases) est impératif.",,,
"C15	Exploiter les équipements d’éclairage et de mesure, régler les effets lumière","SF3.12 à SF3.17: Mesures (cellule, colorimètre), réglage projecteurs, adaptation, programmation console.",Focus : Opération Lumière.Utilisation du thermocolorimètre et du posemètre pour équilibrer les contrastes. Manipulation de la console lumière (jeu d'orgue).,,,
C16	Concevoir et réaliser les prises de vue (effets vidéo),"SF3.18 à SF3.20: Choix éléments visuels, adaptation, cadrage.
",Focus : Prise de Vue Spécifique.Tournage d'éléments destinés au compositing ou au trucage. Rigueur technique absolue requise.,,,
C16	Concevoir et réaliser les prises de vue (effets vidéo),"SF3.30 à SF3.33: Dialogue, réglages, coordination, validation.",Focus : Prise de Vue Spécifique.Tournage d'éléments destinés au compositing ou au trucage. Rigueur technique absolue requise.,,,
C17	Installer et superviser la machinerie,"SF3.21 à SF3.25: Positionnement, dialogue, mise en œuvre, réglages mécaniques (travelling, grue).","Focus : Machinerie de Prise de Vue.Installation et nivellement de rails de travelling, équilibrage de têtes fluides, sécurisation de la machinerie.",,,
C18	Maitriser les réglages préparatoires à la prise de vue,"SF3.26 à SF3.29: Paramètres avancés, enregistrement (codec), vérifications optiques (tirage), calibrage retours.","Focus : Calibrage.Réglage du tirage optique (back focus), du shading (noirs), et calibrage des moniteurs de contrôle.",,,
C19	Opérer les prises de vue et coordonner les actions,"SF3.20, SF3.30-SF3.33: Cadrage, dialogue, réglages en cours, coordination, validation.","Focus : Cadre et Mouvement.L'acte de cadrer. Fluidité des mouvements, maintien du point, respect de la composition.",,,
C20	Adapter les choix de prise de vue au genre du programme,"SF1.2, SF3.34 à SF3.38: Interprétation, proposition d'images, continuité narrative, respect du droit.","Focus : Esthétique Appliquée.Adapter le style visuel (lumière, cadre) au genre (fiction, reportage, docu). Respect des raccords.",,,
C21	Rapporter du tournage les informations nécessaires,"SF3.41 à SF3.45: Inventaire, repérage problèmes, notation paramètres, signalement réserves, rapport image.",Focus : Continuité et Transmission.Rédaction rigoureuse des rapports images et scripte pour la post-production.,,,
C22	Gérer une commande de matériel,SF3.46: Définir précisément les équipements.,Focus : Gestion Technique.Capacité à traduire un besoin artistique en une liste de matériel précise pour un loueur.,,,
C24	Diagnostiquer et rapporter les dysfonctionnements,"SF3.49 à SF3.51: Détecter panne, transmettre infos, réparations mineures.","Focus : Maintenance N1/N2.Capacité à identifier une panne (pixel mort, faux contact) et à la communiquer au service technique.",,,
C26	Communiquer avec l’équipe de production,"SF1.6, SF2.2, SF2.5... (Communication technique et artistique).",Focus : Relationnel.Savoir exprimer des besoins techniques ou des contraintes à des interlocuteurs non-techniciens.,,,
C27	Faire appel aux techniques d’expression,"SF3.19, SF3.20, SF3.33: Adapter choix, cadrer, valider.","Focus : Créativité Technique.Utilisation des outils (profondeur de champ, focale, shutter) à des fins expressives.",,,
C28	Analyser et critiquer le rendu visuel,"SF2.15, SF3.39, SF3.40: Apprécier effets, qualité, pertinence.","Focus : Contrôle Qualité.Analyse critique de l'image sur moniteur de référence (WFM, Vecteurscope) pour garantir la conformité aux normes.",,,
